                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6337,                 4.4248,                 4.0544,                0.60903,                0.07103,                 0.0432,                0.01454,                 3.2839,                 3.5345,                 3.6506,             0.00055122,             0.00055122,             0.00055122
                      2,                 2.9286,                 3.5435,                 3.2589,                 0.2513,                0.25671,                0.18755,                0.05614,                  2.699,                 4.4972,                  3.048,              0.0010521,              0.0010521,              0.0010521
                      3,                 2.5331,                 2.8874,                 2.7766,                0.37933,                 0.2606,                0.31626,                0.13962,                 2.2056,                 2.2056,                 2.5276,               0.001498,               0.001498,               0.001498
                      4,                 2.3002,                 2.4967,                 2.5212,                0.45461,                0.40305,                0.37988,                0.17527,                 1.9746,                 2.2179,                 2.3007,              0.0014195,              0.0014195,              0.0014195
                      5,                  2.128,                 2.3001,                 2.3567,                 0.4779,                0.44415,                0.43131,                0.22078,                 1.9284,                 2.0874,                 2.2301,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.0534,                 2.1301,                 2.1906,                0.62717,                0.41349,                0.46866,                0.24236,                 1.8614,                 1.8311,                 2.1174,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.9534,                 2.0434,                 2.1284,                0.59844,                0.47116,                0.48376,                 0.2573,                 1.7838,                 1.8628,                 2.0276,              0.0011719,              0.0011719,              0.0011719
                      8,                  1.868,                 1.8914,                  2.025,                0.44125,                0.45907,                0.43797,                0.25172,                 1.7019,                 1.8031,                 1.9591,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.8329,                 1.8831,                 2.0079,                0.58417,                0.51173,                 0.5285,                0.30689,                 1.6224,                 1.5591,                 1.9324,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.7746,                 1.7965,                  1.946,                0.62917,                0.52498,                0.55746,                0.31272,                 1.6691,                 1.5561,                 1.9591,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.7147,                 1.6305,                 1.9151,                0.58121,                0.56727,                0.56734,                0.32273,                 1.6017,                 1.5209,                 1.8987,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.6314,                 1.5244,                 1.8617,                 0.6262,                0.54465,                0.54492,                0.32608,                 1.5393,                 1.5026,                 1.8424,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.5938,                 1.4742,                 1.8176,                0.60741,                0.58807,                0.57997,                0.34975,                 1.5038,                 1.4286,                 1.8011,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.5576,                 1.4244,                 1.7958,                0.52673,                0.57224,                0.55438,                0.33304,                 1.5267,                 1.4283,                 1.8068,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.4986,                 1.3458,                 1.7411,                0.63202,                0.62893,                0.63008,                0.38882,                 1.4875,                 1.3245,                 1.7735,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.4768,                  1.322,                 1.7197,                0.64419,                0.64163,                0.64845,                0.39721,                  1.461,                 1.2989,                 1.7458,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.4635,                 1.2881,                 1.7102,                0.64329,                0.61548,                0.61829,                0.38401,                  1.448,                 1.2947,                 1.7373,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.4253,                 1.2389,                 1.6768,                0.63133,                0.64566,                0.64174,                0.40432,                 1.4212,                  1.288,                 1.7192,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.3916,                 1.1993,                  1.647,                0.68893,                0.63337,                 0.6528,                0.40925,                 1.4243,                 1.2299,                 1.7147,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.3785,                 1.1589,                 1.6276,                0.66809,                0.65324,                0.65231,                0.41695,                 1.3961,                  1.229,                 1.6895,             9.9187e-05,             9.9187e-05,             9.9187e-05
